player_id,player,ultimo_equipo,ultimo_team_id,posiciones,partidos_jugados,long_name_match,score,revisar,sofifa_id,player_url,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url,club_name_original
3486,Fernando Llorente Torres,Sevilla,213,"['Center Forward', 'Right Center Forward', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing']",23,Fernando Javier Llorente Torres,87.27272727272728,False,162131,https://sofifa.com/player/162131/fernando-javier-llorente-torres/160002,Llorente,Fernando Javier Llorente Torres,ST,80,80,13500000.0,90000.0,30,1985-02-26,195,90,481.0,Sevilla,Spain Primera Division,1.0,ST,24.0,,2015-08-31,2018.0,45,Spain,,,,Right,3,2,3,Medium/Medium,Normal (185+),Yes,,"#Aerial Threat, #Strength",Power Header,61.0,77.0,59.0,68.0,28.0,79.0,44,82,90,69,80,69,60,40,49,79,55,65,45,80,33,79,55,65,91,64,71,25,85,70,70,,15,25,15,2,2,3,4,2,,79+1,79+1,79+1,70+1,75+1,75+1,75+1,70+1,71+1,71+1,71+1,68+1,65+1,65+1,65+1,68+1,48+1,51+1,51+1,51+1,48+1,46+1,48+1,48+1,48+1,46+1,11+1,https://cdn.sofifa.net/players/162/131/16_120.png,https://cdn.sofifa.net/teams/481/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/es.png,Sevilla FC
3497,Vicente Iborra De La Fuente,Sevilla,213,"['Right Defensive Midfield', 'Right Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Left Center Forward', 'Right Center Forward', 'Left Attacking Midfield']",29,Vicente Iborra de la Fuente,77.77777777777779,True,189560,https://sofifa.com/player/189560/vicente-iborra-de-la-fuente/160002,Iborra,Vicente Iborra de la Fuente,CDM,81,83,16000000.0,100000.0,27,1988-01-16,195,88,481.0,Sevilla,Spain Primera Division,1.0,RDM,8.0,,2013-08-20,2020.0,45,Spain,,,,Right,4,2,2,Medium/Medium,Normal (185+),No,,"#Aerial Threat, #Strength",Long Shot Taker (AI),53.0,71.0,73.0,68.0,83.0,82.0,53,68,81,81,66,67,66,70,82,80,54,53,49,75,38,85,68,78,86,64,78,85,79,74,72,,85,84,75,14,11,6,15,8,,74,74,74,69,73,73,73,69,73,73,73,70,78,78,78,70,74,81,81,81,74,75,81,81,81,75,19,https://cdn.sofifa.net/players/189/560/16_120.png,https://cdn.sofifa.net/teams/481/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/es.png,Sevilla FC
3508,Sandro Ramírez Castillo,Barcelona,217,"['Left Wing', 'Center Forward', 'Right Wing', 'Right Midfield']",10,Sandro Ramírez Castillo,100.0,False,217731,https://sofifa.com/player/217731/sandro-ramirez-castillo/160002,Sandro,Sandro Ramírez Castillo,"LW, RW, ST",72,84,3500000.0,30000.0,19,1995-07-09,175,71,241.0,Barcelona,Spain Primera Division,1.0,SUB,19.0,,2013-07-01,2017.0,45,Spain,,,,Right,4,3,1,High/Medium,Normal (170-185),No,,,Beat Offside Trap,78.0,72.0,60.0,77.0,27.0,68.0,59,76,60,68,62,74,64,55,49,77,77,78,88,68,84,74,73,66,70,65,62,33,76,56,70,,15,25,24,12,16,10,6,8,,72,72,72,72,72,72,72,72,70,70,70,70,62,62,62,70,52,49,49,49,52,49,44,44,44,49,17,https://cdn.sofifa.net/players/217/731/16_120.png,https://cdn.sofifa.net/teams/241/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/es.png,FC Barcelona
3610,Roque Mesa Quevedo,Las Palmas,208,"['Right Wing', 'Right Center Midfield', 'Right Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Back']",34,Roque Mesa Quevedo,100.0,False,204277,https://sofifa.com/player/204277/roque-mesa-quevedo/160002,Roque,Roque Mesa Quevedo,"CDM, CM, LM, RM",71,75,1700000.0,25000.0,26,1989-06-07,168,64,472.0,Las Palmas,Spain Primera Division,1.0,LCM,15.0,,2014-07-08,2016.0,45,Spain,,,,Right,3,2,1,High/High,Stocky (170-),No,,,,80.0,60.0,67.0,74.0,63.0,73.0,67,65,32,74,34,72,46,48,65,74,78,81,80,77,84,63,60,82,68,54,77,74,67,67,42,,63,65,64,15,8,7,11,9,,65,65,65,71,70,70,70,71,71,71,71,72,71,71,71,72,72,71,71,71,72,70,65,65,65,70,18,https://cdn.sofifa.net/players/204/277/16_120.png,https://cdn.sofifa.net/teams/472/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/es.png,Unión Deportiva Las Palmas
3637,Grzegorz Krychowiak,Sevilla,213,"['Left Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Center Midfield', 'Center Defensive Midfield', 'Right Center Back']",26,Grzegorz Krychowiak,100.0,False,197242,https://sofifa.com/player/197242/grzegorz-krychowiak/160002,G. Krychowiak,Grzegorz Krychowiak,CDM,82,86,21500000.0,110000.0,25,1990-01-29,186,85,481.0,Sevilla,Spain Primera Division,1.0,LDM,4.0,,2014-07-23,2018.0,37,Poland,1353.0,LDM,8.0,Right,3,2,2,Medium/High,Normal (185+),No,,#Strength,"Injury Free, Long Passer (AI)",71.0,58.0,73.0,67.0,81.0,88.0,59,42,83,81,40,63,46,62,85,77,67,74,59,80,52,81,75,80,92,70,89,85,52,73,78,,75,87,72,15,14,8,6,7,,67,67,67,66,68,68,68,66,70,70,70,69,76,76,76,69,76,82,82,82,76,77,82,82,82,77,18,https://cdn.sofifa.net/players/197/242/16_120.png,https://cdn.sofifa.net/teams/481/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1353/60.png,https://cdn.sofifa.net/flags/pl.png,Sevilla FC
3638,Shkodran Mustafi,Valencia,207,"['Right Center Back', 'Center Back']",30,Shkodran Mustafi,100.0,False,192227,https://sofifa.com/player/192227/shkodran-mustafi/160002,S. Mustafi,Shkodran Mustafi,CB,82,87,23000000.0,130000.0,23,1992-04-17,184,82,461.0,Valencia,Spain Primera Division,1.0,RCB,5.0,,2014-08-06,2019.0,21,Germany,1337.0,SUB,2.0,Right,3,2,3,Low/High,Normal (170-185),No,,,,69.0,57.0,62.0,56.0,82.0,79.0,51,58,80,75,51,44,55,47,69,67,70,69,68,79,70,66,82,75,81,52,77,85,50,52,54,,81,82,85,11,9,15,10,6,,64+1,64+1,64+1,60+1,61+1,61+1,61+1,60+1,61+1,61+1,61+1,62+1,66+1,66+1,66+1,62+1,73+1,77+1,77+1,77+1,73+1,76+1,81+1,81+1,81+1,76+1,17+1,https://cdn.sofifa.net/players/192/227/16_120.png,https://cdn.sofifa.net/teams/461/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1337/60.png,https://cdn.sofifa.net/flags/de.png,Valencia CF
3990,Jesé Rodríguez Ruiz,Real Madrid,220,"['Center Forward', 'Right Wing', 'Left Wing', 'Left Center Midfield', 'Left Back', 'Right Center Forward', 'Right Center Midfield', 'Left Midfield']",28,Jesé Rodríguez Ruíz,94.73684210526316,False,202515,https://sofifa.com/player/202515/jese-rodriguez-ruiz/160002,Jesé,Jesé Rodríguez Ruíz,"LM, ST, RM",78,85,12000000.0,70000.0,22,1993-02-26,178,73,243.0,Real Madrid,Spain Primera Division,1.0,SUB,20.0,,2013-11-25,2017.0,45,Spain,,,,Right,4,4,1,Medium/Low,Normal (170-185),Yes,,,"Selfish, Finesse Shot, Flair, Technical Dribbler (AI)",87.0,75.0,72.0,84.0,24.0,56.0,72,78,42,77,55,85,70,68,67,86,90,84,87,70,78,76,70,69,58,74,29,33,76,69,68,,16,23,12,13,7,6,13,15,,74,74,74,80,78,78,78,80,78,78,78,78,70,70,70,78,56,51,51,51,56,51,38,38,38,51,18,https://cdn.sofifa.net/players/202/515/16_120.png,https://cdn.sofifa.net/teams/243/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/es.png,Real Madrid CF
4320,Neymar da Silva Santos Junior,Barcelona,217,"['Left Wing', 'Left Midfield']",34,Neymar da Silva Santos Júnior,96.55172413793103,False,190871,https://sofifa.com/player/190871/neymar-da-silva-santos-jr/160002,Neymar,Neymar da Silva Santos Júnior,LW,88,93,71500000.0,240000.0,23,1992-02-05,174,68,241.0,Barcelona,Spain Primera Division,1.0,LW,11.0,,2013-07-01,2018.0,54,Brazil,1370.0,LW,10.0,Right,5,5,5,High/Medium,Unique,Yes,,"#Speedster, #Dribbler, #Acrobat","Diver, Flair, Technical Dribbler (AI)",90.0,80.0,72.0,92.0,30.0,57.0,71,85,62,72,83,94,78,78,72,91,91,90,92,86,84,77,61,80,45,70,56,36,87,72,81,,21,24,33,9,9,15,15,11,,81+3,81+3,81+3,85+3,84+3,84+3,84+3,85+3,83+3,83+3,83+3,83+3,75+3,75+3,75+3,83+3,62+3,56+3,56+3,56+3,62+3,58+3,45+3,45+3,45+3,58+3,19+3,https://cdn.sofifa.net/players/190/871/16_120.png,https://cdn.sofifa.net/teams/241/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1370/60.png,https://cdn.sofifa.net/flags/br.png,FC Barcelona
4324,Daniel Alves da Silva,Barcelona,217,"['Right Back', 'Left Center Back']",29,Daniel Alves da Silva,100.0,False,146530,https://sofifa.com/player/146530/daniel-alves-da-silva/160002,Dani Alves,Daniel Alves da Silva,RB,84,84,16000000.0,170000.0,32,1983-05-06,172,70,241.0,Barcelona,Spain Primera Division,1.0,RB,6.0,,2008-07-01,2017.0,54,Brazil,1370.0,SUB,2.0,Right,3,3,4,High/Low,Normal (170-185),Yes,,,"Power Free-Kick, Diver",86.0,70.0,76.0,83.0,78.0,69.0,80,60,71,80,68,81,77,74,76,85,84,88,85,82,82,87,78,79,56,77,85,83,63,67,70,,70,83,86,5,11,9,6,7,,74+2,74+2,74+2,77+2,76+2,76+2,76+2,77+2,77+2,77+2,77+2,78+2,77+2,77+2,77+2,78+2,82+2,79+2,79+2,79+2,82+2,82+2,78+2,78+2,78+2,82+2,16+2,https://cdn.sofifa.net/players/146/530/16_120.png,https://cdn.sofifa.net/teams/241/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/1370/60.png,https://cdn.sofifa.net/flags/br.png,FC Barcelona
4353,Aymeric Laporte,Athletic Club,215,['Left Center Back'],26,Aymeric Laporte,100.0,False,212218,https://sofifa.com/player/212218/aymeric-laporte/160002,A. Laporte,Aymeric Laporte,CB,83,87,26000000.0,100000.0,21,1994-05-27,189,85,448.0,Athletic Club,Spain Primera Division,1.0,LCB,4.0,,2012-10-01,2019.0,18,France,,,,Left,2,2,2,Medium/Medium,Lean (185+),Yes,,#Tackling ,,73.0,37.0,59.0,60.0,86.0,78.0,32,26,85,70,31,55,52,77,79,70,71,74,49,81,55,71,77,72,83,28,72,85,35,49,36,,86,88,85,10,11,5,14,5,,58,58,58,54,57,57,57,54,57,57,57,59,65,65,65,59,72,78,78,78,72,76,83,83,83,76,18,https://cdn.sofifa.net/players/212/218/16_120.png,https://cdn.sofifa.net/teams/448/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/fr.png,Athletic Club de Bilbao
4418,Matheus Dória Macedo,Granada,1049,['Left Center Back'],8,Matheus Dória Macedo,100.0,False,209329,https://sofifa.com/player/209329/matheus-doria-macedo/160002,Dória,Matheus Dória Macedo,CB,75,81,4800000.0,25000.0,20,1994-11-08,189,82,110832.0,Granada,Spain Primera Division,1.0,SUB,12.0,Olympique de Marseille,,2016.0,54,Brazil,,,,Left,3,2,1,Low/High,Normal (185+),No,,,,59.0,37.0,50.0,50.0,76.0,74.0,40,21,79,68,20,42,21,29,63,63,54,63,41,69,48,77,69,63,78,36,81,80,44,33,41,,75,74,78,12,11,10,11,13,,54,54,54,48,51,51,51,48,50,50,50,52,57,57,57,52,65,70,70,70,65,68,75,75,75,68,18,https://cdn.sofifa.net/players/209/329/16_120.png,https://cdn.sofifa.net/teams/110832/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/br.png,Granada CF
4498,Jean-Sylvain Claude Babin,Granada,1049,"['Right Center Back', 'Left Center Back']",25,Jean-Sylvain Claude Babin,100.0,False,176693,https://sofifa.com/player/176693/jean-sylvain-babin/160002,J. Babin,Jean-Sylvain Claude Babin,CB,74,74,2700000.0,40000.0,28,1986-10-14,182,84,110832.0,Granada,Spain Primera Division,1.0,RCB,6.0,,2014-07-05,2018.0,18,France,,,,Right,3,2,1,High/Medium,Stocky (170-185),No,,#Strength,Power Free-Kick,54.0,44.0,58.0,42.0,76.0,84.0,37,17,74,70,26,33,48,67,56,53,53,54,33,57,60,88,92,84,92,64,62,70,50,58,45,,73,84,75,15,10,16,8,7,,53,53,53,47,51,51,51,47,51,51,51,50,60,60,60,50,64,69,69,69,64,67,74,74,74,67,15,https://cdn.sofifa.net/players/176/693/16_120.png,https://cdn.sofifa.net/teams/110832/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/fr.png,Granada CF
4546,Dimitri Foulquier,Granada,1049,"['Right Back', 'Right Wing', 'Right Wing Back', 'Right Midfield', 'Left Back']",21,Dimitri Foulquier,100.0,False,203177,https://sofifa.com/player/203177/dimitri-foulquier/160002,D. Foulquier,Dimitri Foulquier,"LB, RB, RM",71,77,1900000.0,20000.0,22,1993-03-23,183,78,110832.0,Granada,Spain Primera Division,1.0,SUB,22.0,,2014-07-03,2019.0,18,France,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,,,,78.0,53.0,64.0,74.0,69.0,75.0,71,48,57,68,46,79,59,41,65,73,75,81,69,56,66,61,73,76,77,53,68,70,68,55,56,,63,75,77,11,7,6,10,14,,63,63,63,68,66,66,66,68,66,66,66,69,66,66,66,69,72,69,69,69,72,71,69,69,69,71,15,https://cdn.sofifa.net/players/203/177/16_120.png,https://cdn.sofifa.net/teams/110832/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/fr.png,Granada CF
4558,Pape Cheikh Diop Gueye,Celta Vigo,209,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield']",4,Pape Cheikh Diop Gueye,100.0,False,226773,https://sofifa.com/player/226773/pape-cheikh-diop/160002,P. Diop,Pape Cheikh Diop Gueye,"CM, CDM, CAM",60,74,350000.0,2000.0,17,1997-08-08,180,68,450.0,Celta Vigo,Spain Primera Division,1.0,RES,33.0,,2014-07-01,2021.0,45,Spain,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,,,,69.0,50.0,53.0,59.0,57.0,65.0,31,45,41,66,34,57,36,42,59,56,68,69,71,64,63,65,72,67,68,47,55,67,58,54,53,,49,61,62,12,11,10,10,13,,56,56,56,56,58,58,58,56,58,58,58,57,60,60,60,57,59,61,61,61,59,59,59,59,59,59,17,https://cdn.sofifa.net/players/226/773/16_120.png,https://cdn.sofifa.net/teams/450/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/es.png,RC Celta de Vigo
